time,open,high,low,close
09/11/2023,13884.0336,13937.4652,13805.1334,13917.8941
09/12/2023,13858.9374,13913.5986,13763.6923,13773.6145
2023-09-13,13773.6713,13868.5719,13733.8162,13813.5851
2023-09-14,13889.7579,13957.5696,13810.6621,13926.0525
2023-09-15,13889.1975,13895.7466,13684.2445,13708.3346
2023-09-18,13669.9554,13751.2813,13663.4554,13710.2372
2023-09-19,13649.443,13705.1536,13578.8672,13678.1855
2023-09-20,13710.2598,13727.81,13467.2789,13469.1276
2023-09-21,13328.0566,13362.2314,13222.5642,13223.9849
2023-09-22,13287.171,13353.2193,13200.639,13211.8069
2023-09-25,13172.536,13277.8298,13131.9966,13271.3195
2023-09-26,13180.9639,13199.1336,13033.4034,13063.6096
2023-09-27,13115.3563,13156.3697,12963.1642,13092.8491
2023-09-28,13043.3714,13270.9659,13025.1104,13201.2765
2023-09-29,13337.7085,13382.9832,13177.086,13219.3218
10/02/2023,13217.9847,13364.0265,13204.0756,13307.7727
10/03/2023,13229.6836,13280.0363,13008.597,13059.4661
10/04/2023,13092.92,13258.7557,13072.5145,13236.0096
10/05/2023,13228.1211,13251.1792,13087.5716,13219.8341
10/06/2023,13127.6758,13472.266,13099.0339,13431.3411
10/09/2023,13326.2229,13509.2962,13277.4768,13484.2393
10/10/2023,13505.8108,13659.6314,13491.8109,13562.8437
10/11/2023,13619.2136,13671.1084,13549.2942,13659.6769
10/12/2023,13672.4675,13714.136,13491.5588,13574.2193
2023-10-13,13613.5863,13619.5409,13361.8532,13407.2344
2023-10-16,13453.8073,13598.0458,13447.1651,13567.9838
2023-10-17,13419.8678,13602.2478,13364.7366,13533.7472
2023-10-18,13439.6795,13499.7423,13275.3001,13314.3023
2023-10-19,13354.7985,13404.7265,13157.3289,13186.1753
2023-10-20,13157.7734,13177.3496,12977.4347,12983.8072
2023-10-23,12930.8515,13143.2249,12848.8279,13018.3293
2023-10-24,13084.9937,13170.3926,13022.852,13139.8746
2023-10-25,13039.8608,13042.5191,12804.304,12821.2244
2023-10-26,12768.9684,12818.1433,12543.8562,12595.6053
2023-10-27,12718.6865,12772.4344,12600.5719,12643.011
2023-10-30,12750.4653,12842.9617,12691.5637,12789.4829
2023-10-31,12786.6163,12859.4014,12697.0435,12851.2379
11/01/2023,12887.0637,13072.4247,12875.1994,13061.469
11/02/2023,13230.4898,13302.1825,13177.6434,13294.1905
11/03/2023,13362.8528,13520.2779,13344.7275,13478.2828
11/06/2023,13514.0817,13551.6177,13435.9923,13518.7794
11/07/2023,13555.7898,13675.4642,13516.5613,13639.8558
11/08/2023,13660.2188,13684.8675,13573.5824,13650.4139
11/09/2023,13693.6952,13697.82,13506.0162,13521.4478
11/10/2023,13571.189,13802.5262,13556.3513,13798.1078
2023-11-13,13745.9616,13805.1052,13687.7774,13767.7432
2023-11-14,14015.3706,14124.0583,14003.1427,14094.3814
2023-11-15,14147.2708,14194.3594,14060.6954,14103.836
2023-11-16,14066.8776,14130.4483,14033.7914,14113.6728
2023-11-17,14101.4352,14154.3155,14063.9323,14125.4814
2023-11-20,14134.7511,14309.7993,14134.1977,14284.5337
2023-11-21,14217.2316,14237.504,14146.3052,14199.9822
